series_id,mae_naive,mae_point,mae_qmedian,mean_demand
FOODS_1_001_CA_1_validation,0.98644835,0.7309197,0.7295619,0.6813947
FOODS_1_002_CA_1_validation,0.62337667,0.42776027,0.4278739,0.4083851
FOODS_1_003_CA_1_validation,1.0197629,0.8180341,0.8104179,0.76453984
FOODS_1_004_CA_1_validation,3.648786,2.713982,2.6672385,5.4392996
FOODS_1_005_CA_1_validation,1.5889328,1.2272049,1.2175556,1.4268775
FOODS_1_006_CA_1_validation,1.8334274,1.4491037,1.4360999,1.6549972
FOODS_1_008_CA_1_validation,0.5352908,0.3453251,0.33969307,0.33907396
FOODS_1_009_CA_1_validation,1.1067194,0.8321521,0.8276743,0.7786561
FOODS_1_010_CA_1_validation,0.4291361,0.26348594,0.2658657,0.23404856
FOODS_1_011_CA_1_validation,1.0005647,0.7556954,0.74608076,0.75395256
FOODS_1_012_CA_1_validation,2.6262,2.0174685,2.005252,3.4980237
FOODS_1_013_CA_1_validation,2.154715,1.5724176,1.567395,1.7039808
FOODS_1_014_CA_1_validation,1.3529079,0.9768657,0.97657996,1.0876623
FOODS_1_015_CA_1_validation,0.37605873,0.30999994,0.30853465,0.263834
FOODS_1_016_CA_1_validation,0.892716,0.7112278,0.70057225,0.7696217
FOODS_1_017_CA_1_validation,0.98080176,0.8239038,0.821581,0.78147936
FOODS_1_018_CA_1_validation,4.7769623,3.7105792,3.7086923,7.7789383
FOODS_1_019_CA_1_validation,3.0926032,2.839941,2.834663,2.817335
FOODS_1_020_CA_1_validation,0.74025977,0.60668695,0.5993649,0.67165446
FOODS_1_021_CA_1_validation,3.552795,2.3125246,2.2885013,2.993083
FOODS_1_022_CA_1_validation,0.064935066,0.037449673,0.041556317,0.050677586
FOODS_1_023_CA_1_validation,0.6691135,0.46676973,0.4502522,0.3749294
FOODS_1_024_CA_1_validation,0.98418975,0.728088,0.729895,0.763834
FOODS_1_025_CA_1_validation,0.65048,0.56817275,0.56014234,0.5266798
FOODS_1_026_CA_1_validation,0.661773,0.5661058,0.5626037,0.52936196
FOODS_1_027_CA_1_validation,0.44946358,0.38539034,0.38178217,0.3975155
FOODS_1_028_CA_1_validation,0.4613213,0.3430658,0.33142063,0.36208355
FOODS_1_029_CA_1_validation,0.4579334,0.31819385,0.3190406,0.27964428
FOODS_1_030_CA_1_validation,0.3715415,0.25773624,0.26245153,0.19297008
FOODS_1_031_CA_1_validation,1.5714287,1.1469933,1.1451049,1.2096273
FOODS_1_032_CA_1_validation,2.7741387,2.1531706,2.128212,2.6986165
FOODS_1_033_CA_1_validation,1.378882,1.0660895,1.0655,1.0656409
FOODS_1_034_CA_1_validation,0.73687184,0.49031165,0.48651057,0.47134387
FOODS_1_035_CA_1_validation,1.1750423,0.8604493,0.85049784,0.95143986
FOODS_1_036_CA_1_validation,1.4455111,1.085028,1.0679125,1.1000848
FOODS_1_037_CA_1_validation,0.93111235,0.7741694,0.75668466,0.71583855
FOODS_1_038_CA_1_validation,0.6589498,0.5156612,0.51430607,0.4689441
FOODS_1_039_CA_1_validation,0.9627329,0.68406975,0.684815,0.64892715
FOODS_1_040_CA_1_validation,2.7639751,1.9134853,1.882404,2.4456522
FOODS_1_041_CA_1_validation,1.4477696,1.1028297,1.0963904,1.1708075
FOODS_1_042_CA_1_validation,3.9796724,2.8165956,2.8044968,3.6479392
FOODS_1_043_CA_1_validation,2.916996,2.2686493,2.2429023,4.4767084
FOODS_1_044_CA_1_validation,0.5206098,0.414986,0.40592796,0.4339356
FOODS_1_045_CA_1_validation,2.795031,2.1619325,2.141927,2.8819876
FOODS_1_046_CA_1_validation,4.21965,3.4165025,3.4119449,6.9347825
FOODS_1_047_CA_1_validation,1.3681536,1.0379052,1.0254462,1.0839921
FOODS_1_048_CA_1_validation,0.5866742,0.38034266,0.38287565,0.36208355
FOODS_1_049_CA_1_validation,1.2919254,0.9235696,0.9024241,0.8037832
FOODS_1_050_CA_1_validation,1.3698475,1.0441144,1.0342538,1.1168832
FOODS_1_051_CA_1_validation,1.1784302,0.94831026,0.9450936,1.0047995
FOODS_1_052_CA_1_validation,1.4872953,1.1744467,1.1611956,1.1386223
FOODS_1_053_CA_1_validation,0.12196499,0.08143597,0.08252894,0.05928854
FOODS_1_054_CA_1_validation,1.8447205,1.5067892,1.48669,1.9652739
FOODS_1_055_CA_1_validation,1.5832863,1.1942477,1.1881299,1.5055053
FOODS_1_056_CA_1_validation,0.7035573,0.5678626,0.5608576,0.5770751
FOODS_1_057_CA_1_validation,0.5612648,0.44657177,0.44570825,0.43083003
FOODS_1_058_CA_1_validation,1.6775832,1.3544934,1.336056,1.8975155
FOODS_1_059_CA_1_validation,0.9796725,0.7124137,0.7110027,0.64059854
FOODS_1_060_CA_1_validation,1.1355166,0.85334593,0.8460328,0.8540373
FOODS_1_061_CA_1_validation,1.6612083,1.1907967,1.184263,1.4521457
FOODS_1_062_CA_1_validation,0.59232074,0.42415693,0.42574474,0.38043478
FOODS_1_063_CA_1_validation,0.3060418,0.22698306,0.22347978,0.16869
FOODS_1_064_CA_1_validation,1.69904,1.2915574,1.2848235,1.7608696
FOODS_1_065_CA_1_validation,1.2840203,0.9489079,0.94069576,0.96485037
FOODS_1_066_CA_1_validation,1.9491812,1.421496,1.4082314,1.5495483
FOODS_1_067_CA_1_validation,3.0542066,2.2897842,2.2725086,2.809712
FOODS_1_068_CA_1_validation,0.48447207,0.3328941,0.3325908,0.3149351
FOODS_1_069_CA_1_validation,1.1016375,0.83869207,0.843641,0.8232637
FOODS_1_070_CA_1_validation,0.26821005,0.19099848,0.18902256,0.11349521
FOODS_1_071_CA_1_validation,1.6832298,1.3846595,1.3730924,1.5749577
FOODS_1_072_CA_1_validation,0.07453416,0.053395543,0.053756278,0.04347826
FOODS_1_073_CA_1_validation,1.416149,1.064985,1.0515395,1.2260022
FOODS_1_074_CA_1_validation,1.7436477,1.3710424,1.3598858,1.9223603
FOODS_1_075_CA_1_validation,1.0073406,0.7571464,0.74758714,0.72981364
FOODS_1_076_CA_1_validation,1.1067194,0.92606974,0.921717,1.0244212
FOODS_1_077_CA_1_validation,0.58046305,0.34845418,0.34561434,0.3193111
FOODS_1_078_CA_1_validation,0.4302654,0.29181468,0.29599446,0.25677583
FOODS_1_079_CA_1_validation,0.07905138,0.040891506,0.04570132,0.04376059
FOODS_1_080_CA_1_validation,1.0073406,0.7729971,0.7718188,0.74336535
FOODS_1_081_CA_1_validation,1.7617166,1.1747985,1.1787791,1.1103896
FOODS_1_082_CA_1_validation,4.577075,3.3117208,3.3387804,6.877753
FOODS_1_083_CA_1_validation,2.1976285,1.5961014,1.5801033,2.1544325
FOODS_1_084_CA_1_validation,0.14568041,0.07444987,0.076540135,0.08695652
FOODS_1_085_CA_1_validation,5.440994,4.1364527,4.1462708,9.978543
FOODS_1_086_CA_1_validation,3.9525692,3.1578429,3.1056857,3.896951
FOODS_1_087_CA_1_validation,2.9373236,2.3159716,2.3105388,3.4092321
FOODS_1_088_CA_1_validation,1.4150198,1.0973263,1.0879214,1.0890739
FOODS_1_089_CA_1_validation,0.28571427,0.19765548,0.20191541,0.19720496
FOODS_1_090_CA_1_validation,1.0677583,0.82542574,0.82499236,0.8346979
FOODS_1_091_CA_1_validation,0.75889325,0.6376831,0.62485284,0.6956522
FOODS_1_092_CA_1_validation,0.76228124,0.58834976,0.5808584,0.5790514
FOODS_1_093_CA_1_validation,0.42970073,0.26642764,0.26516882,0.23715416
FOODS_1_094_CA_1_validation,1.5177865,1.1222945,1.1230103,1.2600225
FOODS_1_095_CA_1_validation,0.28232637,0.15448205,0.1631741,0.13608132
FOODS_1_096_CA_1_validation,0.55505365,0.44514206,0.44175553,0.4007623
FOODS_1_097_CA_1_validation,2.068323,1.5570148,1.5517925,1.9222192
FOODS_1_098_CA_1_validation,0.53472614,0.3326597,0.3340813,0.2919255
FOODS_1_099_CA_1_validation,5.913608,5.09921,5.0793033,10.207933
FOODS_1_101_CA_1_validation,0.9277244,0.6970139,0.6939332,0.7941841
FOODS_1_102_CA_1_validation,0.12704687,0.10108225,0.103672564,0.05900621
FOODS_1_103_CA_1_validation,1.7492943,1.3074356,1.3103507,1.6891587
FOODS_1_104_CA_1_validation,2.2315075,1.7614464,1.7579855,2.4330885
FOODS_1_105_CA_1_validation,0.36363637,0.28971878,0.28505445,0.20652173
FOODS_1_106_CA_1_validation,1.5928854,1.2234677,1.2098274,1.485319
FOODS_1_107_CA_1_validation,0.2055336,0.13430803,0.13242789,0.13791643
FOODS_1_108_CA_1_validation,1.097685,0.8703724,0.8678819,0.8725296
FOODS_1_109_CA_1_validation,0.7363072,0.5663708,0.5608221,0.6250706
FOODS_1_110_CA_1_validation,2.6267645,2.050505,2.0409925,3.6510446
FOODS_1_111_CA_1_validation,0.76341057,0.56258786,0.5725013,0.5152456
FOODS_1_112_CA_1_validation,1.9124788,1.4097728,1.3938543,1.588227
FOODS_1_113_CA_1_validation,2.3455675,1.6796484,1.6710966,1.9764258
FOODS_1_114_CA_1_validation,0.99604744,0.8401319,0.83868927,0.9144551
FOODS_1_115_CA_1_validation,0.7662338,0.56653154,0.5726948,0.5750988
FOODS_1_116_CA_1_validation,0.8509317,0.6855277,0.6887764,0.62436473
FOODS_1_117_CA_1_validation,0.9367589,0.73485184,0.72645205,0.8015246
FOODS_1_118_CA_1_validation,2.1134953,1.5795919,1.5637531,1.8914455
FOODS_1_119_CA_1_validation,0.8368154,0.6414998,0.64197785,0.66473746
FOODS_1_120_CA_1_validation,1.0271033,0.82948095,0.82465637,1.0859684
FOODS_1_121_CA_1_validation,1.312253,1.0290978,1.0364668,0.98320156
FOODS_1_122_CA_1_validation,1.6307172,1.2579896,1.2410374,1.5455956
FOODS_1_123_CA_1_validation,1.1456804,0.85956055,0.8633089,1.0159514
FOODS_1_124_CA_1_validation,0.8706946,0.70989794,0.69609296,0.7323546
FOODS_1_125_CA_1_validation,0.39469227,0.28962952,0.29303598,0.20186336
FOODS_1_126_CA_1_validation,0.9802371,0.8001331,0.7907896,0.9051383
FOODS_1_127_CA_1_validation,1.4376059,1.0357691,1.0289439,1.2478826
FOODS_1_128_CA_1_validation,0.8904574,0.691229,0.6833795,0.63833994
FOODS_1_129_CA_1_validation,0.87916434,0.7367805,0.73452187,0.68393564
FOODS_1_130_CA_1_validation,2.0700169,1.6736777,1.6607474,2.1455393
FOODS_1_131_CA_1_validation,0.8712592,0.695246,0.6974354,0.7509881
FOODS_1_132_CA_1_validation,0.9051383,0.6708346,0.6719495,0.6261999
FOODS_1_133_CA_1_validation,0.256917,0.21231186,0.21437551,0.15782045
FOODS_1_134_CA_1_validation,1.1852062,1.029124,1.0161619,1.2803501
FOODS_1_135_CA_1_validation,0.770751,0.5358207,0.5288477,0.48927158
FOODS_1_136_CA_1_validation,0.78881985,0.5740755,0.5609169,0.52597404
FOODS_1_137_CA_1_validation,1.7216263,1.3066614,1.2630252,1.3265104
FOODS_1_138_CA_1_validation,0.85601354,0.6153963,0.6219587,0.57114625
FOODS_1_139_CA_1_validation,3.025974,2.3283477,2.3182163,3.1763127
FOODS_1_140_CA_1_validation,0.9141728,0.70045424,0.69606584,0.7406832
FOODS_1_141_CA_1_validation,0.9904009,0.8111464,0.80862844,0.86758894
FOODS_1_142_CA_1_validation,1.5601356,1.1320931,1.1283908,1.1545737
FOODS_1_143_CA_1_validation,1.040655,0.7939476,0.7908258,0.82608694
FOODS_1_144_CA_1_validation,1.0886506,0.83217514,0.8335872,0.84345
FOODS_1_145_CA_1_validation,1.787126,1.3271275,1.320448,1.6641728
FOODS_1_146_CA_1_validation,1.2111802,0.9533989,0.94214803,1.1112366
FOODS_1_147_CA_1_validation,0.96612084,0.7685063,0.76376474,0.7313665
FOODS_1_148_CA_1_validation,0.21005084,0.12199392,0.12802713,0.1119424
FOODS_1_149_CA_1_validation,1.5940146,1.149836,1.1462057,1.1898644
FOODS_1_150_CA_1_validation,1.4319593,1.0859112,1.0821072,1.2178148
FOODS_1_151_CA_1_validation,0.5844156,0.4271096,0.41533366,0.39737436
FOODS_1_152_CA_1_validation,0.8181818,0.6524065,0.6409088,0.67419535
FOODS_1_153_CA_1_validation,2.2247317,1.7167933,1.6980158,2.2012987
FOODS_1_154_CA_1_validation,4.2134385,3.205027,3.194862,4.1733484
FOODS_1_155_CA_1_validation,2.338227,1.6460229,1.6322857,2.047572
FOODS_1_156_CA_1_validation,1.1309994,0.9238031,0.91528815,0.8880576
FOODS_1_157_CA_1_validation,0.5059289,0.36676836,0.36598068,0.3524845
FOODS_1_158_CA_1_validation,0.79785436,0.6462703,0.6431404,0.60573125
